"Timestamp","The dashboard has a visually appealing design","The layout is too cluttered.","I would find the information presented by the product useful if I was traveling by air.","The layout of the dashboard helps me quickly find what I need.","It is easy to understand the meaning of the data visualizations used.","Interactive elements (e.g., filters, dropdowns, clickable charts) are intuitive and responsive.","The dashboard clearly presents the most important information at a glance","I would recommend this dashboard to others.","Are you involved in the airline industry?","Do you have any suggestions or feedback?"
"2025/04/19 3:17:39 PM AST","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","No",""
"2025/04/19 3:19:47 PM AST","Agree","Disagree","Neither agree nor disagree","Agree","Agree","Neither agree nor disagree","Agree","Agree","No",""
"2025/04/19 3:20:31 PM AST","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","No","Data is neatly presented and can quickly under the outputs"
"2025/04/19 3:24:13 PM AST","Agree","Neither agree nor disagree","Agree","Agree","Neither agree nor disagree","Strongly agree","Agree","Agree","Yes","More clear labels would help!"
"2025/04/19 3:28:23 PM AST","Agree","Disagree","Agree","Agree","Agree","Agree","Neither agree nor disagree","Agree","No",""
"2025/04/19 3:32:45 PM AST","Strongly agree","Disagree","Agree","Agree","Agree","Disagree","Neither agree nor disagree","Agree","No",""
"2025/04/19 3:47:15 PM AST","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Strongly disagree","Agree","Neither agree nor disagree","Agree","No",""
"2025/04/19 3:50:22 PM AST","Agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","No","Good job "
"2025/04/19 3:54:36 PM AST","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","No",""
"2025/04/19 4:16:57 PM AST","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Agree","Strongly agree","Strongly agree","No",""
"2025/04/19 4:23:50 PM AST","Strongly agree","Disagree","Agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","No",""
"2025/04/19 4:24:19 PM AST","Agree","Disagree","Strongly agree","Agree","Agree","Agree","Agree","Agree","No",""
"2025/04/19 4:27:17 PM AST","Strongly agree","Neither agree nor disagree","Agree","Agree","Strongly disagree","Strongly agree","Agree","Strongly agree","Yes",""
"2025/04/19 4:29:35 PM AST","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Agree","Strongly agree","No",""
"2025/04/19 4:34:54 PM AST","Agree","Disagree","Strongly agree","Neither agree nor disagree","Agree","Disagree","Agree","Agree","No","Delay risk model is not very responsive to destination inputs and other interactive tools"
"2025/04/19 4:37:23 PM AST","Agree","Neither agree nor disagree","Strongly agree","Agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","No","Further explanation of the axis’ of the graphs.  For example on breakdown for causes the vertical axis says “value” but what is the actual value? "
"2025/04/19 4:40:46 PM AST","Agree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Disagree","Agree","Agree","No","Make the drop downs stand out, and darker backgrounds can make the info pop more"
"2025/04/19 4:44:31 PM AST","Strongly agree","Strongly disagree","Strongly agree","Agree","Agree","Agree","Strongly agree","Agree","No",""
"2025/04/19 4:46:44 PM AST","Strongly disagree","Agree","Disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Disagree","Disagree","No",""
"2025/04/19 4:46:47 PM AST","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Disagree","No",""
"2025/04/19 4:49:57 PM AST","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","No",""
"2025/04/19 4:50:13 PM AST","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","No","Full names of Airport codes could maybe be shown. What is “nas delays”?"
"2025/04/19 4:56:26 PM AST","Agree","Agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Agree","No","Be able to compare between airlines as not all airlines are consistent with scheduled flights. "
"2025/04/19 5:30:50 PM AST","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","No",""
"2025/04/19 5:35:53 PM AST","Strongly agree","Disagree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Neither agree nor disagree","No",""
"2025/04/19 5:53:08 PM AST","Strongly agree","Strongly disagree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Disagree","Strongly agree","Strongly agree","No",""
"2025/04/19 6:00:28 PM AST","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","No",""
"2025/04/19 6:02:26 PM AST","Disagree","Disagree","Agree","Disagree","Neither agree nor disagree","Disagree","Disagree","Neither agree nor disagree","No","I think the most important thing to me if I was a traveler using this application would be why my flight is delayed and predicted probably of delays. So that information should be near the top for me. "
